"ID","Language","AtLeastOneOpenResponse","Isolation","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Coinhabitants","Age","Gender","Country","Education","OrganizationSize","Disabilities","OS1_y","OS1_h","OS2_y","OS2_h","OS3_y","OS3_h","OS4_y","OS4_h","OS5_y","OS5_h","OS6_y","OS6_h","OS7_y","OS7_h","OS8_y","OS8_h","OS9_y","OS9_h","OS10_y","OS10_h","OS11_y","OS11_h","OS12_y","OS12_h","OS13_y","OS13_h","OS14_y","OS14_h","OS15_y","OS15_h","OS16_y","OS16_h","OS17_y","OS17_h","OS18_y","OS18_h","OS19_y","OS19_h","OS20_y","OS20_h","OS21_y","OS21_h","OS22_y","OS22_h","COVIDStatus","AdultCohabitants","ChildCohabitants","FearResilience","PerRatioB","PerRatioS","DeltaWellbeing"
11,"English",0,2,0,3,4,4,3,2,1,2,2,2,1,3,2,4,3,4,4,1,3,2,2,3,0,1,1,1,1,0,2,2,1,1,1,1,0,0,1,7,8,7,1,0.5,0,1,1,3,"Male","United Kingdom",2,5,0,,,,,1,0,,,,,1,0,,,,,1,0,,,1,0,1,0,,,,,,,0,1,,,1,0,1,0,1,0,,,,,1,0,0,-3.1,1.14285714285714,1,-4
12,"English",0,3,0,2,3,4,,2,-2,2,-1,2,2,4,4,4,2,4,1,0,1,1,0,2,2,3,2,2,2,3,0,2,2,2,1,2,2,2,0,6,6,5,1,0.1,0,1,3,2,"Male","Nepal",2,2,0,0,1,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,1,0,0,2,0,-1.2,1,0.833333333333333,-15
13,"English",1,1,1,4,4,4,2,2,-1,3,-1,3,-2,4,4,5,4,5,4,4,5,5,4,2,0,2,2,2,2,2,0,2,2,2,2,2,2,0,0,8,8,8,0,0.5,0.1,1,4,6,"Male","United States",2,4,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,1,0,1,0,,,,,,,1,0,,,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,0,0,1,2,-3,1,1,0
14,"English",0,2,0,3,2,3,0,2,1,1,2,2,1,4,3,4,3,4,3,1,2,2,3,2,1,0,1,1,1,1,0,2,2,2,1,1,1,2,0,8,8,7,1,0.1,0,0,3,2,"Male","United States",3,2,0,1,0,0,1,1,0,,,1,0,1,0,1,0,1,0,1,0,,,1,0,1,0,,,0,1,,,0,1,,,1,0,1,0,0,1,1,0,1,0,0,2,0,0.2,1,0.875,-7
15,"English",0,2,4,0,2,4,3,1,-2,3,-1,3,-1,3,3,4,4,4,2,1,2,3,3,2,0,2,1,1,1,0,1,1,1,2,1,2,2,0,0,5,7,5,1,1,0,1,2,4,"Male","United States",3,4,0,1,1,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,,,1,1,1,1,1,1,,,0,1,,,,,1,1,1,1,1,1,0,1,1,1,0,1,0,-2.5,1.4,1,-7
16,"English",0,2,0,4,4,3,4,2,2,2,2,2,1,3,4,4,4,4,3,1,2,3,3,3,2,1,1,0,1,1,3,1,2,3,2,0,3,3,-1,5,7,4,1,0.8,0.7,1,1,4,"Male","Ireland",2,4,0,1,0,1,1,0,1,,,,,1,0,1,0,1,0,1,0,0,1,1,0,1,0,,,,,,,,,1,0,1,0,,,1,0,1,0,1,0,0,0,0,0.2,1.4,0.8,-7
17,"English",1,2,3,3,3,4,1,2,-1,2,2,2,2,4,4,5,4,4,0,1,1,0,4,2,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,5,5,6,1,0.05,0,1,2,5,"Male","United States",2,2,0,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,,1,1.2,-15
18,"English",0,2,0,4,4,4,0,1,1,-1,2,2,3,5,4,4,4,4,4,1,1,2,3,2,0,0,0,2,1,0,0,1,2,1,1,2,0,0,0,7,7,6,1,0.1,0,1,3,2,"Male","Russia",2,2,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,0,1,0,2,0,,1,0.857142857142857,-10
19,"English",1,1,4,4,4,4,4,2,3,3,3,3,1,5,3,5,3,4,2,3,3,3,4,2,0,1,2,2,2,2,1,2,1,1,1,1,1,2,1,7,8,8,1,0.9,0,1,2,5,"Male","United States",2,6,0,1,1,0,1,1,1,0,1,0,1,0,1,1,1,0,1,1,1,,,0,1,,,,,0,1,,,0,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,0,0.4,1.14285714285714,1.14285714285714,-5
20,"English",1,2,0,4,4,4,0,3,2,3,3,3,3,4,1,3,2,3,3,2,4,2,4,2,0,1,1,0,2,1,0,2,0,0,0,0,1,0,1,8,7,8,1,0.1,0,1,2,3,"Male","United States",3,6,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,-1.9,0.875,1,2
21,"English",1,2,0,3,4,3,3,3,1,2,1,3,-1,3,3,4,4,4,4,2,4,3,3,3,0,1,1,1,1,1,2,3,2,2,2,2,1,0,2,8,8,6,0,0.1,0,1,2,4,"Male","United States",3,3,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,1,0,-2,1,0.75,-2
22,"English",0,2,4,4,3,3,4,2,1,2,1,1,1,2,2,1,4,3,4,3,1,4,3,2,0,0,3,1,3,1,1,2,1,1,0,1,0,0,1,6,7,7,1,0.7,0,1,3,3,"Male","Russia",3,4,0,1,1,,,,,,,,,1,1,0,1,,,1,1,,,,,1,1,,,0,1,,,,,,,1,1,1,1,1,1,,,0,1,0,2,0,-4.1,1.16666666666667,1.16666666666667,3
23,"English",1,2,4,4,4,3,4,3,3,3,3,3,-2,4,4,4,5,4,3,2,2,2,2,4,0,1,1,1,1,0,3,1,3,4,3,3,3,0,-2,7,8,5,1,0.8,0.4,1,2,4,"Male","Italy",2,2,0,1,1,0,1,1,1,,,1,1,1,1,1,1,0,1,0,1,1,0,,,1,1,0,1,,,,,,,0,1,1,1,,,,,0,1,0,1,1,1,0,-0.3,1.14285714285714,0.714285714285714,-10
24,"English",0,2,2,4,3,4,4,1,2,1,1,2,-3,4,3,4,4,4,1,0,1,1,0,3,1,2,1,1,1,1,3,1,3,3,3,3,3,3,-3,8,9,3,1,0.4,0,1,2,2,"Male","United States",1,6,2,1,1,0,1,1,1,,,0,1,0,1,1,1,1,1,1,1,1,0,1,1,1,1,,,,,,,0,1,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,-3.1,1.125,0.375,-16
25,"English",1,2,2,4,4,4,2,3,3,3,3,3,1,4,3,4,4,4,3,2,3,2,2,4,0,1,1,1,2,0,3,3,2,2,1,2,0,1,3,7,9,7,1,1.2,1.2,1,2,5,"Male","United States",3,2,0,1,0,0,1,1,0,,,1,0,1,0,1,0,,,1,0,,,1,0,1,0,,,,,,,,,,,1,0,1,0,0,1,,,1,0,0,1,0,,1.28571428571429,1,-7
26,"English",1,2,3,4,4,4,3,3,2,3,3,3,1,4,4,4,4,4,4,4,4,4,4,4,0,1,1,2,1,0,3,4,1,1,1,1,0,0,3,3,7,7,1,1,0,1,2,5,"Male","United States",2,4,0,0,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,0,1,1,1,1,1,,,0,1,,,,,1,1,1,1,1,1,1,1,0,1,1,1,0,1,0,-3.6,2.33333333333333,2.33333333333333,0
27,"English",1,2,0,2,4,4,0,3,2,3,2,3,-3,4,2,5,2,4,4,2,5,5,4,2,0,0,1,0,0,0,0,2,0,0,1,0,1,0,0,8,8,8,1,0.5,0,1,2,3,"Male","Slovakia",1,5,0,1,0,0,1,,,0,1,1,0,1,0,1,0,1,0,1,0,,,,,,,,,,,,,,,1,0,1,0,1,0,1,0,,,1,0,0,1,0,-4.1,1,1,3
28,"English",1,2,4,3,3,3,4,3,3,3,3,3,3,5,5,5,5,5,5,5,5,5,5,4,0,0,0,0,0,0,2,4,0,0,0,0,0,0,2,7,8,8,1,0.2,0.1,1,2,2,"Male","United States",2,6,0,0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,1,1,0,,,0,1,1,0,1,0,0,1,0,1,0,1,0,1,1,0,0,1,1,0,0,1,1,0,1,1,0,,1.14285714285714,1.14285714285714,0
29,"English",1,2,1,4,3,4,2,3,2,3,2,3,2,4,4,4,4,4,4,2,2,1,1,3,0,1,1,0,0,0,2,3,0,2,2,0,1,1,1,6,9,7,1,0.9,0.3,1,1,4,"Male","Netherlands",0,2,0,1,1,1,1,1,1,,,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,0,,,,,,,,,,,1,1,1,1,1,1,0,1,0,1,0,0,0,,1.5,1.16666666666667,-10
30,"English",0,2,1,3,3,3,3,-3,-2,-1,-1,-3,-3,0,2,3,2,4,3,0,3,3,2,1,0,2,2,0,2,2,-1,2,2,2,2,2,2,2,-1,7,6,5,1,1.4,0,1,3,6,"Male","United Kingdom",4,3,2,,,,,1,1,,,0,1,1,1,1,1,0,1,1,1,,,1,1,1,0,,,0,1,0,1,,,0,1,1,1,1,1,1,1,,,1,1,1,1,1,1.1,0.857142857142857,0.714285714285714,0
31,"English",1,2,4,4,4,4,3,-1,2,3,2,3,-3,4,4,4,4,4,3,2,3,4,2,4,2,1,1,2,1,0,2,3,2,1,1,0,1,2,2,6,10,9,1,1.8,0.8,1,4,5,"Male","Canada",2,3,0,1,1,0,1,1,1,0,1,0,1,0,1,0,1,0,1,1,1,,,0,1,1,1,1,1,,,0,1,0,1,0,1,1,1,1,1,1,1,1,1,0,1,0,1,2,-2.1,1.66666666666667,1.5,-6
32,"English",0,2,2,1,1,4,1,1,2,2,2,2,2,3,2,3,3,2,4,3,3,3,4,3,2,2,2,2,2,1,1,1,2,3,2,2,3,2,-1,6,8,4,1,0.6,0,1,5,3,"Male","Serbia and Montenegro",2,2,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,0,1,,,0,1,0,1,0,1,1,0,1,0,0,1,1,0,0,1,0,1,0,4,0,-3.2,1.33333333333333,0.666666666666667,4
33,"English",1,1,,4,2,3,4,2,1,3,-1,1,2,4,4,4,3,4,4,5,4,4,5,2,0,3,2,1,2,2,2,3,1,1,1,1,1,0,2,8,7,8,1,0,0,1,3,1,"Male","Latvia",1,3,0,1,1,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,,,,,1,1,1,0,,,0,1,1,1,1,0,1,1,1,1,1,1,,,1,1,0,2,0,-3.1,0.875,1,3
34,"English",0,2,4,4,4,4,1,3,2,1,3,3,-1,3,5,4,5,4,4,3,5,3,4,2,0,1,1,0,1,2,3,2,2,2,2,1,2,0,3,8,8,8,1,2.5,0,1,2,7,"Male","Canada",2,4,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,,,1,0,1,0,,,,,,,,,,,1,0,1,0,1,0,,,,,0,1,0,-2.6,1,1,-2
35,"English",0,2,0,3,4,0,0,2,2,3,2,2,1,4,5,5,5,4,5,5,5,5,5,4,3,4,3,3,3,4,3,3,3,3,3,3,3,3,3,8,9,9,1,0.1,0.1,1,2,1,"Male","Slovakia",1,2,0,,,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,1,0,1,,,0,1,0,1,0,1,0,1,0,1,1,0,1,0,,,0,1,1,0,0,1,0,1,0,,1.125,1.125,2
36,"English",1,2,0,3,4,3,0,2,2,2,-3,2,-3,3,1,4,4,4,3,1,3,3,5,2,2,3,2,1,2,1,2,2,1,2,2,1,1,2,2,7,8,9,1,0.2,0,1,2,3,"Male","United States",1,4,0,,,0,1,,,0,1,,,0,1,0,1,0,1,1,1,,,1,1,,,,,0,1,,,0,1,0,1,1,0,1,1,,,,,1,1,0,1,0,-1.8,1.14285714285714,1.28571428571429,-1
37,"English",1,2,2,3,1,4,3,3,3,2,2,3,2,1,0,1,1,1,4,4,4,4,2,1,0,2,3,3,3,3,1,2,1,1,2,1,1,2,2,7,7,8,1,0.8,0,1,1,5,"NB","Canada",1,2,0,1,1,1,1,1,1,,,1,1,1,1,1,1,1,1,,,,,1,1,1,1,1,0,,,,,1,1,,,1,1,1,1,1,1,1,1,1,1,0,0,0,-1.3,1,1.14285714285714,14
38,"English",1,2,0,1,3,4,0,2,2,2,3,3,1,3,1,3,3,4,3,4,3,3,4,4,0,1,1,2,2,0,2,4,1,2,2,2,0,0,2,8,8,7,1,0.16,0,1,3,4,"Male","Israel",2,2,0,1,1,,,,,,,1,1,1,1,,,,,1,1,,,1,1,,,,,,,,,,,,,1,1,,,,,0,1,,,0,2,0,-3.6,1,0.875,3
39,"English",0,2,3,3,3,4,2,1,3,3,2,3,-2,4,3,4,3,4,4,4,4,4,4,3,0,0,1,1,0,0,2,2,1,2,2,1,2,1,0,7,9,7,1,0.1,0,1,3,4,"Male","Belgium",1,3,0,0,1,0,1,0,1,0,1,0,1,0,1,1,0,0,1,1,0,,,0,1,1,0,,,0,1,0,1,0,1,0,1,1,0,1,0,1,0,,,1,0,0,1,1,-3.6,1.28571428571429,1,2
40,"English",0,3,4,4,4,4,4,3,1,3,2,3,1,1,1,3,2,3,1,1,3,1,2,2,1,1,1,1,2,1,1,1,2,1,2,1,1,2,0,6,8,7,1,1.5,1.1,1,2,4,"Male","United States",2,3,0,1,0,1,0,1,0,,,0,1,1,0,1,0,,,1,0,,,1,0,1,0,,,,,,,,,,,1,0,1,0,1,0,,,1,0,0,1,0,-2.7,1.33333333333333,1.16666666666667,-2
41,"English",1,2,0,3,1,4,2,3,1,1,2,3,2,2,2,3,4,3,3,1,1,2,2,0,0,2,2,2,1,1,0,0,2,2,2,2,2,2,-1,8,6,5,1,0.6,0,1,1,3,"Male","United States",1,3,2,1,1,,,1,0,,,1,1,1,0,1,1,0,1,1,0,,,1,1,1,1,0,1,0,1,,,,,,,1,1,0,1,1,0,,,1,1,1,0,0,-1.5,0.75,0.625,-5
42,"English",0,2,1,3,4,4,2,3,2,3,2,3,-3,5,3,4,4,4,3,3,3,3,3,2,1,0,2,1,3,2,-1,2,2,2,2,2,2,2,-1,10,7,7,1,0.1,0,1,3,2,"Male","Romania",3,4,0,1,0,1,0,1,0,,,,,1,0,1,0,,,1,0,,,1,0,,,,,,,,,,,,,1,0,1,0,1,0,,,1,0,0,2,0,-2.6,0.7,0.7,-5
43,"English",0,1,3,4,4,4,4,3,1,2,2,2,1,2,2,4,4,3,4,2,3,3,3,4,1,2,3,2,2,1,2,3,1,2,2,2,1,2,2,7,9,9,1,0.2,0,1,2,2,"Male","United States",2,5,0,0,1,0,1,,,,,,,1,0,1,0,,,1,0,,,1,0,,,1,0,,,,,1,0,,,1,0,1,0,,,,,1,0,0,1,0,,1.28571428571429,1.28571428571429,0
44,"English",1,2,2,4,4,4,2,-2,2,3,2,2,-2,3,4,4,4,4,2,2,3,3,3,2,0,0,1,0,1,0,2,2,1,1,1,0,1,2,2,8,10,8,1,1.6,0.1,1,5,5,"Male","United States",2,2,0,,,1,1,1,0,0,1,1,1,1,1,1,1,1,0,1,1,,,1,1,,,,,0,1,,,,,0,1,1,1,1,1,1,1,1,1,1,1,0,3,1,1.7,1.25,1,-6
45,"English",1,3,0,4,3,4,1,3,3,1,1,2,1,1,0,1,0,1,4,3,1,3,2,3,2,1,2,1,2,2,2,2,3,1,2,1,1,3,2,7,7,7,1,0.7,0,1,1,4,"Male","France",3,6,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,1,0,1,0,1,0,0,0,0,0.7,1,1,10
46,"English",0,2,4,3,4,4,0,3,2,-2,1,-1,3,2,3,3,3,4,4,2,5,3,2,2,0,2,2,0,1,2,0,1,2,3,2,0,3,2,-2,5,6,4,1,0.5,0,1,1,3,"Male","United States",2,3,0,1,1,1,1,1,1,,,1,1,1,1,1,1,0,1,1,1,,,1,1,1,1,,,,,,,,,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,-3.9,1.2,0.8,1
47,"English",0,2,3,4,3,3,,3,-1,1,-1,3,-1,3,3,4,4,4,1,1,1,1,0,2,3,2,4,2,3,3,0,1,2,4,2,,2,3,-2,5,7,3,1,0.2,0,1,3,4,"Female","Canada",2,2,0,1,0,,,,,,,0,1,1,0,,,0,1,1,0,,,0,1,1,0,0,1,,,,,,,,,,,,,,,,,1,0,0,2,0,1.7,1.4,0.6,-14
48,"English",0,0,0,,0,0,0,2,-2,-1,1,1,3,5,5,5,5,5,0,0,0,0,0,1,3,4,1,2,3,4,3,0,3,2,1,4,2,4,3,2,9,10,1,1.9,0,1,5,6,,,3,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,0,4.7,4.5,5,-25
49,"English",1,2,3,4,4,3,1,1,-2,2,-1,1,-2,2,0,3,3,2,3,2,4,3,2,3,0,2,2,1,3,2,1,2,1,3,2,1,1,0,1,8,8,5,1,0.4,0,1,2,2,"Male","United Kingdom",2,1,,0,1,0,1,0,1,0,1,1,1,,,1,1,1,1,1,1,,,1,1,,,,,,,,,,,,,0,1,,,,,1,0,0,1,1,1,0,-2.6,1,0.625,4
50,"English",0,2,4,3,4,4,3,-2,-2,-1,-1,-1,-2,5,5,4,5,3,3,2,3,2,3,3,0,0,1,2,1,0,1,2,1,1,1,1,2,2,0,8,8,6,1,1.5,0.1,1,4,5,"Male","United States",2,3,0,1,0,0,1,,,,,1,0,1,0,1,0,0,1,1,0,,,0,1,0,1,0,1,,,,,,,1,0,1,0,1,0,1,0,,,1,0,0,1,2,-3.7,1,0.75,-9
51,"English",0,2,0,1,1,3,0,-1,-3,2,-1,2,-3,3,3,4,3,4,2,2,2,3,2,3,0,0,1,1,1,0,2,2,2,2,1,1,1,2,1,6,8,7,1,0.7,0.2,1,3,5,"Female","United States",2,5,0,1,0,1,0,,,0,1,1,0,1,0,1,0,0,1,1,0,,,0,1,,,1,0,,,0,1,0,1,0,1,1,0,1,0,1,0,,,0,1,0,1,1,-0.6,1.33333333333333,1.16666666666667,-6
52,"English",0,2,3,3,3,4,2,2,1,3,1,3,2,4,4,4,4,4,4,4,4,4,4,1,1,2,1,1,1,1,3,1,1,1,1,1,1,1,3,9,8,8,1,1.4,0,1,4,6,"Male","United States",3,6,0,1,0,1,0,1,0,0,1,1,0,1,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,0,1,2,-1.2,0.888888888888889,0.888888888888889,0
53,"English",0,2,1,4,4,4,4,3,3,3,3,3,3,3,4,4,4,4,4,3,4,4,4,2,0,0,2,1,2,1,0,1,0,2,1,0,1,0,0,9,9,9,1,0.2,0,1,2,4,"Male","United States",2,3,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,1,1,1,0,,,1,0,1,0,1,0,0,1,0,1,1,0,0,1,1,0,1,0,1,0,1,0,1,0,0,1,0,-3,1,1,0
54,"English",0,2,3,4,4,4,4,3,1,3,1,3,-3,4,1,3,3,4,4,5,4,5,5,2,0,1,2,1,1,1,1,4,1,1,0,0,0,0,2,6,7,9,1,0.3,0.1,1,2,2,"Male","Portugal",2,3,0,1,0,0,1,1,0,0,1,1,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1,0,1,0,1,0,1,1,0,1,0,1,0,1,0,1,0,1,1,0,,1.16666666666667,1.5,8
55,"English",0,2,1,3,4,3,3,2,-2,2,-1,2,1,4,2,3,4,2,3,2,4,3,3,3,0,2,2,2,2,1,2,3,2,2,2,2,1,2,1,7,8,7,1,0.2,0,1,2,3,"Male","Germany",2,3,0,1,1,1,0,,,0,1,,,1,1,0,1,,,1,1,0,1,1,1,,,,,,,,,1,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,0,-2.3,1.14285714285714,1,0
56,"English",1,2,4,2,4,4,4,3,3,-1,1,3,-1,4,5,4,4,4,5,4,4,4,3,4,0,2,3,4,2,0,3,4,1,1,2,1,0,1,3,7,8,8,1,1.6,0,1,2,4,"Male","United States",1,5,0,1,1,,,,,,,1,1,1,1,1,1,,,1,1,,,1,1,1,1,,,,,,,,,,,1,1,1,1,1,1,,,,,0,1,0,-1.9,1.14285714285714,1.14285714285714,-1
57,"English",1,2,4,4,4,3,3,2,1,1,2,3,-2,2,2,2,3,2,3,2,2,2,3,2,2,1,1,1,2,1,1,1,2,2,2,2,2,2,0,7,8,5,1,0.1,0,1,4,6,"Male","Sweden",2,5,0,1,0,0,1,1,0,,,1,0,1,0,1,0,1,0,1,0,,,1,0,,,,,,,,,,,0,1,1,0,1,0,1,0,1,0,1,0,0,1,2,-3,1.14285714285714,0.714285714285714,1
58,"English",1,1,4,4,4,2,4,1,-2,3,-2,3,-3,5,4,4,3,4,2,1,3,2,4,3,0,1,1,1,2,0,3,4,1,2,2,1,0,0,3,9,9,3,1,1,0,1,3,3,"Male","United States",2,5,0,1,0,0,1,1,0,0,1,1,0,1,0,1,0,0,1,1,0,1,0,1,0,,,,,,,0,1,,,,,1,0,1,0,0,1,0,1,1,0,0,1,1,-2.6,1,0.333333333333333,-8
