"ID","Language","AtLeastOneOpenResponse","COVIDStatus5","COVIDStatus4","COVIDStatus3","COVIDStatus2","COVIDStatus1","COVIDStatus0","Isolation","DP2","DP1","DP5","DP4","DP3","Erg2","Erg6","Erg4","Erg5","Erg3","Erg1","WHO5B3","WHO5B4","WHO5B5","WHO5B2","WHO5B1","WHO5S2","WHO5S3","WHO5S5","WHO5S1","WHO5S4","HPQB1","HPQB7","HPQB3","HPQB6","HPQB5","HPQB4","HPQB2","HPQB8","HPQS1","HPQS4","HPQS6","HPQS3","HPQS5","HPQS2","HPQS7","HPQS8","PerformanceOthers","PerB1item","PerS1item","RolesIncludeDeveloper","YearsOfExperience","YearsOfWorkFromHomeExperience","Fulltime","Age","Gender","Country","Education","OrganizationSize","Disabilities","COVIDStatus","AdultCohabitants","ChildCohabitants","FearResilience"
15,"English",0,0,0,0,0,0,1,3,5,1,3,5,4,4,2,6,3,6,3,4,4,5,5,5,3,2,3,4,4,3,1,3,2,2,2,1,5,2,2,3,2,3,3,1,4,5,7,5,1,10,0,1,4,"Male","United States",3,4,0,0,1,0,-2.5
16,"English",0,0,0,0,0,0,1,3,1,5,5,4,5,5,5,5,5,5,4,4,5,5,5,5,4,2,3,4,4,4,3,2,2,1,2,2,7,2,3,4,3,1,4,4,3,5,7,4,1,8,7,1,4,"Male","Ireland",2,4,0,0,0,0,0.2
17,"English",1,0,0,0,0,0,1,3,4,4,4,5,2,5,3,5,5,5,5,5,5,6,5,5,1,2,2,1,5,3,2,1,3,1,1,1,4,1,1,1,1,1,1,1,4,5,5,6,1,0.5,0,1,5,"Male","United States",2,2,0,0,1,0,NA
18,"English",0,0,0,0,0,0,1,3,1,5,5,5,1,4,4,3,5,5,6,6,5,5,5,5,5,2,2,3,4,3,1,1,1,3,2,1,4,2,3,2,2,3,1,1,4,7,7,6,1,1,0,1,2,"Male","Russia",2,2,0,0,2,0,NA
19,"English",1,0,0,0,0,0,1,2,5,5,5,5,5,5,6,6,6,6,4,6,4,6,4,5,3,4,4,4,5,3,1,2,3,3,3,3,5,3,2,2,2,2,2,3,5,7,8,8,1,9,0,1,5,"Male","United States",2,6,0,0,1,0,0.4
20,"English",1,0,0,0,0,0,1,3,1,5,5,5,1,6,5,6,6,6,6,5,2,4,3,4,4,3,5,3,5,3,1,2,2,1,3,2,4,3,1,1,1,1,2,1,5,8,7,8,1,1,0,1,3,"Male","United States",3,6,0,0,1,0,-1.9
21,"English",1,0,0,0,0,0,1,3,1,4,5,4,4,6,4,5,4,6,3,4,4,5,5,5,5,3,5,4,4,4,1,2,2,2,2,2,6,4,3,3,3,3,2,1,6,8,8,6,0,1,0,1,4,"Male","United States",3,3,0,0,1,0,-2
22,"English",0,0,0,0,0,0,1,3,5,5,4,4,5,5,4,5,4,4,4,3,3,2,5,4,5,4,2,5,4,3,1,1,4,2,4,2,5,3,2,2,1,2,1,1,5,6,7,7,1,7,0,1,3,"Male","Russia",3,4,0,0,2,0,-4.1
23,"English",1,0,0,0,0,1,0,3,5,5,5,4,5,6,6,6,6,6,2,5,5,5,6,5,4,3,3,3,3,5,1,2,2,2,2,1,7,2,4,5,4,4,4,1,2,7,8,5,1,8,4,1,4,"Male","Italy",2,2,0,1,1,0,-0.3
24,"English",0,0,0,0,0,0,1,3,3,5,4,5,5,4,5,4,4,5,1,5,4,5,5,5,2,1,2,2,1,4,2,3,2,2,2,2,7,2,4,4,4,4,4,4,1,8,9,3,1,4,0,1,2,"Male","United States",1,6,2,0,1,0,-3.1
25,"English",1,0,0,0,0,0,1,3,3,5,5,5,3,6,6,6,6,6,4,5,4,5,5,5,4,3,4,3,3,5,1,2,2,2,3,1,7,4,3,3,2,3,1,2,7,7,9,7,1,12,12,1,5,"Male","United States",3,2,0,0,1,0,NA
26,"English",1,0,0,0,0,0,1,3,4,5,5,5,4,6,5,6,6,6,4,5,5,5,5,5,5,5,5,5,5,5,1,2,2,3,2,1,7,5,2,2,2,2,1,1,7,3,7,7,1,10,0,1,5,"Male","United States",2,4,0,0,1,0,-3.6
27,"English",1,0,0,0,0,0,1,3,1,3,5,5,1,6,5,6,5,6,1,5,3,6,3,5,5,3,6,6,5,3,1,1,2,1,1,1,4,3,1,1,2,1,2,1,4,8,8,8,1,5,0,1,3,"Male","Slovakia",1,5,0,0,1,0,-4.1
28,"English",1,0,0,0,0,1,0,3,5,4,4,4,5,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,5,1,1,1,1,1,1,6,5,1,1,1,1,1,1,6,7,8,8,1,2,1,1,2,"Male","United States",2,6,0,1,1,0,NA
29,"English",1,0,0,0,0,0,1,3,2,5,4,5,3,6,5,6,5,6,5,5,5,5,5,5,5,3,3,2,2,4,1,2,2,1,1,1,6,4,1,3,3,1,2,2,5,6,9,7,1,9,3,1,4,"Male","Netherlands",0,2,0,0,0,0,NA
30,"English",0,0,0,0,0,1,0,3,2,4,4,4,4,1,2,3,3,1,1,1,3,4,3,5,4,1,4,4,3,2,1,3,3,1,3,3,3,3,3,3,3,3,3,3,3,7,6,5,1,14,0,1,6,"Male","United Kingdom",4,3,2,1,1,1,1.1
31,"English",1,0,0,0,0,0,1,3,5,5,5,5,4,3,5,6,5,6,1,5,5,5,5,5,4,3,4,5,3,5,3,2,2,3,2,1,6,4,3,2,2,1,2,3,6,6,10,9,1,18,8,1,5,"Male","Canada",2,3,0,0,1,2,-2.1
32,"English",0,0,0,0,0,0,1,3,3,2,2,5,2,4,5,5,5,5,5,4,3,4,4,3,5,4,4,4,5,4,3,3,3,3,3,2,5,2,3,4,3,3,4,3,3,6,8,4,1,6,0,1,3,"Male","Serbia and Montenegro",2,2,0,0,4,0,-3.2
33,"English",1,0,0,0,0,0,1,2,NA,5,3,4,5,5,4,6,3,4,5,5,5,5,4,5,5,6,5,5,6,3,1,4,3,2,3,3,6,4,2,2,2,2,2,1,6,8,7,8,1,0,0,1,1,"Male","Latvia",1,3,0,0,2,0,-3.1
34,"English",0,0,0,0,0,0,1,3,5,5,5,5,2,6,5,4,6,6,3,4,6,5,6,5,5,4,6,4,5,3,1,2,2,1,2,3,7,3,3,3,3,2,3,1,7,8,8,8,1,25,0,1,7,"Male","Canada",2,4,0,0,1,0,-2.6
35,"English",0,0,0,0,0,0,1,3,1,4,5,1,1,5,5,6,5,5,4,5,6,6,6,5,6,6,6,6,6,5,4,5,4,4,4,5,7,4,4,4,4,4,4,4,7,8,9,9,1,1,1,1,1,"Male","Slovakia",1,2,0,0,1,0,NA
36,"English",1,0,0,0,0,0,1,3,1,4,5,4,1,5,5,5,1,5,1,4,2,5,5,5,4,2,4,4,6,3,3,4,3,2,3,2,6,3,2,3,3,2,2,3,6,7,8,9,1,2,0,1,3,"Male","United States",1,4,0,0,1,0,-1.8
37,"English",1,0,0,0,0,0,1,3,3,4,2,5,4,6,6,5,5,6,5,2,1,2,2,2,5,5,5,5,3,2,1,3,4,4,4,4,5,3,2,2,3,2,2,3,6,7,7,8,1,8,0,1,5,"NB","Canada",1,2,0,0,0,0,-1.3
38,"English",1,0,0,0,0,0,1,3,1,2,4,5,1,5,5,5,6,6,4,4,2,4,4,5,4,5,4,4,5,5,1,2,2,3,3,1,6,5,2,3,3,3,1,1,6,8,8,7,1,1.6,0,1,4,"Male","Israel",2,2,0,0,2,0,-3.6
39,"English",0,0,0,0,0,0,1,3,4,4,4,5,3,4,6,6,5,6,2,5,4,5,4,5,5,5,5,5,5,4,1,1,2,2,1,1,6,3,2,3,3,2,3,2,4,7,9,7,1,1,0,1,4,"Male","Belgium",1,3,0,0,1,1,-3.6
40,"English",0,0,0,0,0,0,1,4,5,5,5,5,5,6,4,6,5,6,4,2,2,4,3,4,2,2,4,2,3,3,2,2,2,2,3,2,5,2,3,2,3,2,2,3,4,6,8,7,1,15,11,1,4,"Male","United States",2,3,0,0,1,0,-2.7
41,"English",1,0,0,0,0,1,0,3,1,4,2,5,3,6,4,4,5,6,5,3,3,4,5,4,4,2,2,3,3,1,1,3,3,3,2,2,4,1,3,3,3,3,3,3,3,8,6,5,1,6,0,1,3,"Male","United States",1,3,2,1,0,0,-1.5
42,"English",0,0,0,0,0,0,1,3,2,4,5,5,3,6,5,6,5,6,1,6,4,5,5,5,4,4,4,4,4,3,2,1,3,2,4,3,3,3,3,3,3,3,3,3,3,10,7,7,1,1,0,1,2,"Male","Romania",3,4,0,0,2,0,-2.6
43,"English",0,0,0,0,0,0,1,2,4,5,5,5,5,6,4,5,5,5,4,3,3,5,5,4,5,3,4,4,4,5,2,3,4,3,3,2,6,4,2,3,3,3,2,3,6,7,9,9,1,2,0,1,2,"Male","United States",2,5,0,0,1,0,NA
44,"English",1,0,0,0,0,0,1,3,3,5,5,5,3,2,5,6,5,5,2,4,5,5,5,5,3,3,4,4,4,3,1,1,2,1,2,1,6,3,2,2,2,1,2,3,6,8,10,8,1,16,1,1,5,"Male","United States",2,2,0,0,3,1,1.7
45,"English",1,0,0,0,0,0,1,4,1,5,4,5,2,6,6,4,4,5,4,2,1,2,1,2,5,4,2,4,3,4,3,2,3,2,3,3,6,3,4,2,3,2,2,4,6,7,7,7,1,7,0,1,4,"Male","France",3,6,0,0,0,0,0.7
46,"English",0,0,0,0,0,1,0,3,5,4,5,5,1,6,5,2,4,3,6,3,4,4,4,5,5,3,6,4,3,3,1,3,3,1,2,3,4,2,3,4,3,1,4,3,2,5,6,4,1,5,0,1,3,"Male","United States",2,3,0,1,0,0,-3.9
47,"English",0,0,0,0,0,0,1,3,4,5,4,4,NA,6,3,4,3,6,3,4,4,5,5,5,2,2,2,2,1,3,4,3,5,3,4,4,4,2,3,5,3,NA,3,4,2,5,7,3,1,2,0,1,4,"Female","Canada",2,2,0,0,2,0,1.7
48,"English",0,1,1,1,1,1,0,1,1,NA,1,1,1,5,2,3,4,4,6,6,6,6,6,6,1,1,1,1,1,2,4,5,2,3,4,5,7,1,4,3,2,5,3,5,7,2,9,10,1,19,0,1,6,NA,NA,3,5,NA,5,4,0,4.7
49,"English",1,0,0,0,0,1,0,3,4,5,5,4,2,4,2,5,3,4,2,3,1,4,4,3,4,3,5,4,3,4,1,3,3,2,4,3,5,3,2,4,3,2,2,1,5,8,8,5,1,4,0,1,2,"Male","United Kingdom",2,1,NA,1,1,0,-2.6
50,"English",0,0,0,0,0,0,1,3,5,4,5,5,4,2,2,3,3,3,2,6,6,5,6,4,4,3,4,3,4,4,1,1,2,3,2,1,5,3,2,2,2,2,3,3,4,8,8,6,1,15,1,1,5,"Male","United States",2,3,0,0,1,2,-3.7
51,"English",0,0,0,0,0,0,1,3,1,2,2,4,1,3,1,5,3,5,1,4,4,5,4,5,3,3,3,4,3,4,1,1,2,2,2,1,6,3,3,3,2,2,2,3,5,6,8,7,1,7,2,1,5,"Female","United States",2,5,0,0,1,1,-0.6
52,"English",0,0,0,0,0,0,1,3,4,4,4,5,3,5,4,6,4,6,5,5,5,5,5,5,5,5,5,5,5,2,2,3,2,2,2,2,7,2,2,2,2,2,2,2,7,9,8,8,1,14,0,1,6,"Male","United States",3,6,0,0,1,2,-1.2
53,"English",0,0,0,0,0,0,1,3,2,5,5,5,5,6,6,6,6,6,6,4,5,5,5,5,5,4,5,5,5,3,1,1,3,2,3,2,4,2,1,3,2,1,2,1,4,9,9,9,1,2,0,1,4,"Male","United States",2,3,0,0,1,0,-3
54,"English",0,0,0,0,0,1,0,3,4,5,5,5,5,6,4,6,4,6,1,5,2,4,4,5,5,6,5,6,6,3,1,2,3,2,2,2,5,5,2,2,1,1,1,1,6,6,7,9,1,3,1,1,2,"Male","Portugal",2,3,0,1,1,0,NA
55,"English",0,0,0,0,0,0,1,3,2,4,5,4,4,5,2,5,3,5,4,5,3,4,5,3,4,3,5,4,4,4,1,3,3,3,3,2,6,4,3,3,3,3,2,3,5,7,8,7,1,2,0,1,3,"Male","Germany",2,3,0,0,1,0,-2.3
56,"English",1,0,0,0,0,0,1,3,5,3,5,5,5,6,6,3,4,6,3,5,6,5,5,5,6,5,5,5,4,5,1,3,4,5,3,1,7,5,2,2,3,2,1,2,7,7,8,8,1,16,0,1,4,"Male","United States",1,5,0,0,1,0,-1.9
57,"English",1,0,0,0,0,0,1,3,5,5,5,4,4,5,4,4,5,6,2,3,3,3,4,3,4,3,3,3,4,3,3,2,2,2,3,2,5,2,3,3,3,3,3,3,4,7,8,5,1,1,0,1,6,"Male","Sweden",2,5,0,0,1,2,-3
58,"English",1,0,0,0,0,0,1,2,5,5,5,3,5,4,2,6,2,6,1,6,5,5,4,5,3,2,4,3,5,4,1,2,2,2,3,1,7,5,2,3,3,2,1,1,7,9,9,3,1,10,0,1,3,"Male","United States",2,5,0,0,1,1,-2.6
59,"English",1,0,0,0,1,0,0,4,1,5,5,5,5,5,1,6,4,6,3,3,2,4,3,5,3,1,4,2,5,4,1,2,1,2,2,1,6,2,2,3,3,2,3,2,3,7,9,6,1,3,0,1,3,"Male","Italy",2,4,0,2,2,0,-4
60,"English",0,0,0,0,0,0,1,4,2,5,2,5,2,6,4,3,5,6,3,4,4,3,4,4,3,1,4,2,1,4,3,3,3,2,4,2,7,4,2,2,2,2,1,3,7,5,7,8,1,3,0,1,3,"Male","Italy",0,2,0,0,1,0,NA
61,"English",1,0,0,0,0,0,1,3,4,5,5,5,5,1,2,4,3,5,1,4,4,5,5,5,2,1,3,3,2,4,1,1,2,2,2,1,6,3,3,4,3,3,3,3,5,8,9,6,1,8,0,1,4,"Female","United Kingdom",2,3,0,0,1,1,-0.8
62,"English",1,0,0,0,0,0,1,3,5,5,4,5,4,6,5,5,6,6,5,2,1,2,3,2,6,5,6,6,6,2,1,2,4,3,1,4,3,3,1,2,1,2,2,3,5,8,5,8,1,1,0,1,3,"Male","Slovenia",3,4,0,0,3,0,0.4
63,"English",0,0,0,0,0,0,1,3,1,4,5,5,3,4,4,5,6,4,4,6,6,5,5,6,5,4,6,5,6,3,2,2,1,2,2,1,5,3,2,2,1,2,2,3,6,8,8,9,1,5,0,1,3,"Male","Spain",4,3,0,0,1,0,NA
64,"English",0,0,0,0,0,0,1,3,1,4,4,4,4,4,2,3,2,3,4,4,4,5,4,4,3,5,5,4,3,3,3,4,3,2,3,3,6,4,2,2,1,2,2,1,6,7,8,9,1,10,1,1,6,"Male","France",3,2,0,0,0,2,NA
65,"English",1,0,0,0,0,1,0,3,2,5,3,5,NA,4,4,5,3,6,2,5,5,5,5,4,3,2,5,3,3,4,3,2,2,1,3,1,6,2,3,3,4,1,1,2,6,8,8,7,1,2,0,0,2,"Male","Romania",2,4,0,1,3,0,-2.8
66,"English",0,0,0,0,0,0,1,3,4,5,5,5,2,5,6,6,5,4,4,3,3,4,5,4,6,4,5,5,4,2,1,3,4,2,2,3,5,3,2,2,2,2,2,1,5,6,7,8,1,3,0,1,3,"Male","United States",2,5,0,0,2,2,-4.1
67,"English",1,0,0,0,0,0,1,3,4,5,4,5,3,5,4,5,5,5,4,5,5,5,5,5,4,4,3,4,2,3,1,2,3,2,2,2,6,3,3,2,3,2,2,3,6,8,9,8,1,9,0,1,4,"Male","United States",3,5,0,0,1,0,-3.4
68,"English",0,0,0,0,0,0,1,3,1,2,2,5,3,6,5,4,4,5,4,4,5,4,4,4,5,3,5,5,4,4,1,1,1,1,4,1,7,3,3,2,2,2,2,1,6,7,8,7,1,8,1,1,3,"Male","United Kingdom",2,4,0,0,0,0,NA
69,"English",1,0,0,0,0,0,1,3,NA,4,4,4,3,6,6,5,4,6,6,5,5,5,5,5,5,3,3,4,4,4,1,2,2,2,2,2,7,4,2,2,2,2,2,2,7,4,8,8,1,3,0,1,3,"Male","United States",2,5,0,0,0,0,-3.6
70,"English",1,0,0,0,0,0,1,3,3,3,5,5,2,5,6,6,6,6,6,1,6,4,6,6,6,1,6,6,6,5,1,2,2,3,2,1,7,5,2,1,2,1,1,2,7,3,9,10,1,6,2,1,3,"Male","United States",2,5,0,0,1,0,1.4
71,"English",0,0,0,0,0,0,1,3,2,5,4,4,2,6,6,6,6,6,3,5,4,4,6,6,4,3,3,4,3,4,1,2,2,1,2,1,7,4,2,2,3,3,2,2,4,9,9,6,1,2,0,1,2,"Male","France",3,3,0,0,3,0,-1.7
72,"English",1,0,0,0,0,0,1,3,3,2,5,5,NA,5,3,3,6,5,4,2,3,2,3,5,3,2,2,2,2,4,1,2,2,2,2,1,6,3,4,4,3,3,2,1,4,7,9,6,1,5,0,1,6,"Male","Ireland",1,2,0,0,1,1,-3
73,"English",0,1,0,0,0,0,0,4,4,5,5,5,3,6,5,5,5,6,4,5,5,4,5,6,5,5,4,6,5,3,1,3,4,2,4,3,4,3,4,3,3,2,3,1,4,6,6,6,1,12,0,1,5,"Male","United States",2,3,0,5,1,0,NA
74,"English",1,0,0,0,0,0,1,3,2,2,2,1,1,5,3,5,3,5,4,3,3,3,3,3,4,3,3,3,3,2,2,3,3,3,3,3,4,2,3,3,3,3,3,3,4,7,7,7,1,2,0,1,3,"Male","United States",2,5,0,0,0,0,0.8
75,"English",0,0,0,0,0,0,1,3,2,5,3,5,4,3,5,5,4,6,2,4,3,5,5,5,5,5,5,5,5,2,2,2,2,2,2,2,4,2,2,2,2,2,2,2,4,6,6,8,1,2,0,1,1,"Male","United States",0,1,0,0,1,1,NA
76,"English",1,0,0,0,0,0,1,4,5,5,5,5,5,6,5,6,5,6,2,5,5,5,5,4,4,3,2,1,1,4,3,3,3,2,4,3,6,1,3,4,4,4,4,4,3,8,9,5,1,10,3,1,4,"Male","United States",2,2,2,0,1,0,3
77,"English",0,0,0,0,0,0,1,3,4,5,5,5,5,3,5,5,4,3,3,6,6,6,5,6,6,4,3,4,3,4,1,2,2,1,1,1,7,3,1,1,2,1,1,2,6,7,10,7,1,8,15,1,5,"Male","United States",2,5,0,0,1,1,-4.1
78,"English",0,0,0,0,0,0,1,3,1,5,5,5,2,4,5,6,5,5,3,3,3,5,5,4,4,2,4,3,2,2,1,2,3,3,2,3,4,2,2,4,4,3,4,1,2,5,5,2,1,4,0,0,NA,"Male","Australia",1,2,0,0,1,0,-1.9
79,"English",1,0,0,0,0,0,1,3,4,2,5,5,NA,6,6,5,5,6,4,6,6,5,6,6,4,4,4,3,5,4,1,2,2,3,3,2,6,3,2,2,2,3,3,2,6,6,7,5,1,6,0,1,4,"Male","Ireland",2,5,0,0,1,1,-3.7
80,"English",1,0,0,0,0,1,0,3,2,5,4,5,4,5,4,4,1,5,4,1,2,4,1,2,1,1,2,1,1,3,4,4,3,5,5,3,4,NA,NA,NA,4,NA,4,NA,4,8,6,4,1,5,1,1,3,"Male","Saudi Arabia",2,2,1,1,2,0,-1.5
81,"English",0,0,0,0,0,0,1,3,2,3,2,5,2,3,4,5,3,5,3,3,3,1,4,2,4,3,1,2,4,3,1,2,2,1,4,1,6,4,2,3,2,2,2,3,6,5,8,8,1,15,0,1,7,NA,"United States",2,3,0,0,3,0,1.2
82,"English",0,0,0,0,0,1,0,3,4,5,5,5,5,6,5,6,5,6,2,5,4,5,5,6,5,5,6,5,5,5,1,1,3,2,2,1,7,4,2,4,2,2,2,1,6,9,9,8,1,9,2,1,4,"Male","United Kingdom",2,3,0,1,1,0,-3.4
83,"English",0,0,0,0,0,0,1,3,1,5,4,5,3,6,4,5,4,6,4,4,4,3,3,3,1,2,1,1,1,3,1,2,1,1,1,3,6,3,3,3,4,2,4,3,5,8,9,8,1,8,0,1,3,"Male","Israel",2,4,0,0,2,0,-3.5
84,"English",0,0,0,0,0,0,1,2,5,5,5,5,1,6,1,2,3,1,1,6,5,6,6,6,3,3,3,4,5,5,1,2,2,2,2,1,7,4,3,4,4,2,2,3,4,6,8,5,1,1,0,1,2,"Male","United States",1,4,2,0,3,0,NA
85,"English",1,0,0,0,0,0,1,4,4,5,4,5,4,2,4,4,4,5,2,4,4,5,5,5,2,1,2,2,2,5,1,2,2,2,2,1,6,3,4,4,3,4,3,4,5,6,8,5,1,20,5,1,7,"Female","United States",2,2,1,0,2,0,3.3
86,"English",0,0,0,0,0,0,1,4,1,5,5,4,4,5,2,5,2,4,3,3,1,4,3,4,4,2,4,2,4,4,2,3,3,3,2,1,6,4,2,3,3,3,1,3,6,8,9,8,1,9,2,1,3,"Male","Brazil",2,1,0,0,1,0,0.1
87,"English",0,0,0,0,0,0,1,3,3,4,4,4,4,6,6,6,6,6,6,3,4,3,5,4,6,5,5,6,6,4,1,2,2,2,2,2,6,4,2,2,2,2,2,1,6,5,7,7,1,4,0,1,5,"Male","United States",3,5,0,0,NA,0,-4.1
88,"English",0,0,0,0,0,0,1,3,4,5,3,4,3,6,5,5,5,5,5,5,5,6,3,4,2,2,5,5,6,5,1,4,2,2,NA,1,5,4,2,2,3,2,4,1,5,7,8,7,1,3,3,1,4,"Male","Australia",1,2,0,0,1,0,-2.9
89,"English",0,0,0,0,0,1,0,4,2,3,2,NA,2,5,4,5,5,5,5,2,2,2,2,2,5,4,4,4,4,2,1,2,4,3,4,3,4,2,2,1,2,2,2,1,5,6,7,7,1,3,0,1,2,"Male","Brazil",2,2,0,1,2,0,NA
90,"English",0,0,0,0,0,0,1,4,NA,5,5,5,3,5,6,6,6,5,3,6,5,6,6,6,3,2,3,3,3,2,1,2,2,2,2,2,3,1,4,4,3,3,4,2,2,9,8,3,1,1,0,1,2,"Male","Australia",1,2,2,0,3,1,-2.9
91,"English",1,0,0,0,0,1,0,4,1,1,5,5,5,6,6,6,6,6,6,2,2,6,6,3,6,2,6,2,1,5,1,2,1,1,1,1,7,5,1,2,3,1,1,1,7,6,10,10,1,18,5,1,4,"Male","United Kingdom",1,3,0,1,2,3,-2.9
92,"English",0,0,0,0,0,0,1,3,5,5,5,5,4,6,4,6,6,6,5,6,4,5,6,5,1,3,2,1,1,4,1,2,2,2,2,1,6,4,4,3,4,4,1,2,5,9,9,8,1,5,2,1,2,"Male","United Kingdom",2,2,0,0,0,1,-2.9
93,"English",1,0,0,0,0,0,1,3,4,5,4,5,5,4,5,5,5,6,3,5,5,5,4,4,4,2,5,5,5,3,2,3,4,3,4,2,5,4,3,2,4,2,2,5,4,9,6,7,1,4,0,1,3,"Male","United States",2,2,0,0,0,0,1.4
94,"English",0,0,0,0,0,1,0,3,2,3,1,5,5,3,3,5,5,6,2,3,3,3,3,3,2,2,2,2,2,2,3,2,3,3,3,3,4,2,3,4,3,3,3,3,4,8,7,5,1,2,1,1,4,"Male","United States",2,5,0,1,0,0,-1.7
95,"English",1,0,0,0,0,0,1,3,2,3,5,4,1,6,5,6,5,4,3,4,3,4,5,4,4,4,3,5,4,4,2,2,2,2,2,2,5,2,3,3,3,3,3,1,2,5,7,3,1,4,0,1,3,"Male","United States",3,4,0,0,4,0,NA
96,"English",1,0,0,0,0,1,0,3,5,3,5,5,5,4,6,6,6,6,6,5,4,5,4,5,5,5,5,5,5,2,3,1,3,2,3,1,4,3,1,1,1,1,2,2,5,8,8,9,1,5,0,1,3,"Female","Russia",3,4,0,1,0,0,-0.5
97,"English",0,0,0,0,0,0,1,3,1,4,4,5,2,5,1,5,2,4,3,2,2,5,3,2,5,3,5,4,5,3,1,3,2,2,2,1,6,2,1,4,3,2,2,2,4,6,8,7,1,2,0,1,2,"Male","Romania",2,3,0,0,1,0,-3.1
